id,iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income
25,AL,ALB,Albania,1/1/96,3140.036986,72.52741463,3168033,20.075,12.5,Europe & Central Asia,Upper middle income
26,AM,ARM,Armenia,1/1/08,7097.912173,73.945,2975029,14.101,10.6,Europe & Central Asia,Lower middle income
27,AM,ARM,Armenia,1/1/92,1347.491008,67.85334146,3449497,19.546,21.9,Europe & Central Asia,Lower middle income
28,AM,ARM,Armenia,1/1/93,1287.955107,68.06956098,3369673,18.348,21.2,Europe & Central Asia,Lower middle income
29,AM,ARM,Armenia,1/1/03,3510.316808,72.60958537,3036420,13.741,13.7,Europe & Central Asia,Lower middle income
30,AM,ARM,Armenia,1/1/04,3998.143137,72.9737561,3025982,13.949,13,Europe & Central Asia,Lower middle income
31,AM,ARM,Armenia,1/1/97,1840.696008,69.71641463,3137652,14.16,18.3,Europe & Central Asia,Lower middle income
32,AM,ARM,Armenia,1/1/02,3007.219393,72.20160976,3047249,13.511,14.4,Europe & Central Asia,Lower middle income
33,AM,ARM,Armenia,1/1/14,8099.208326,74.67570732,3006154,13.157,7.7,Europe & Central Asia,Lower middle income
34,AM,ARM,Armenia,1/1/07,6483.504649,73.76465854,2988117,14.161,11.1,Europe & Central Asia,Lower middle income
35,AM,ARM,Armenia,1/1/06,5526.092806,73.54826829,3002161,14.164,11.8,Europe & Central Asia,Lower middle income
36,AM,ARM,Armenia,1/1/94,1419.992742,68.37665854,3289943,17.123,20.5,Europe & Central Asia,Lower middle income
37,AM,ARM,Armenia,1/1/95,1581.73379,68.76356098,3223173,15.962,19.8,Europe & Central Asia,Lower middle income
38,AM,ARM,Armenia,1/1/13,7734.780167,74.56136585,2992192,13.308,8.2,Europe & Central Asia,Lower middle income
39,AM,ARM,Armenia,1/1/99,2123.61324,70.76709756,3093820,13.286,16.7,Europe & Central Asia,Lower middle income
40,AM,ARM,Armenia,1/1/00,2313.331946,71.27658537,3076098,13.203,15.9,Europe & Central Asia,Lower middle income
41,AM,ARM,Armenia,1/1/09,6158.301452,74.09582927,2966108,13.986,10,Europe & Central Asia,Lower middle income
42,AM,ARM,Armenia,1/1/90,2414.404926,67.74780488,3544695,21.6,23,Europe & Central Asia,Lower middle income
43,AM,ARM,Armenia,1/1/12,7401.856398,74.45209756,2978339,13.474,8.6,Europe & Central Asia,Lower middle income
44,AM,ARM,Armenia,1/1/96,1731.807416,69.21685366,3173425,14.957,19.1,Europe & Central Asia,Lower middle income
45,AM,ARM,Armenia,1/1/01,2605.771618,71.75582927,3060036,13.306,15.1,Europe & Central Asia,Lower middle income
46,AM,ARM,Armenia,1/1/91,2223.444263,67.73829268,3511912,20.652,22.5,Europe & Central Asia,Lower middle income
47,AM,ARM,Armenia,1/1/10,6376.268217,74.22634146,2963496,13.83,9.5,Europe & Central Asia,Lower middle income
48,AM,ARM,Armenia,1/1/11,6803.482997,74.34282927,2967984,13.652,9.1,Europe & Central Asia,Lower middle income
49,AM,ARM,Armenia,1/1/05,4716.243273,73.28739024,3014917,14.097,12.4,Europe & Central Asia,Lower middle income
50,AM,ARM,Armenia,1/1/98,2012.338894,70.24021951,3112958,13.6,17.5,Europe & Central Asia,Lower middle income
51,AT,AUT,Austria,1/1/94,22652.45988,76.4195122,7936118,11.6,3.7,Europe & Central Asia,High income: OECD
52,AT,AUT,Austria,1/1/01,29856.60364,78.57560976,8042293,9.4,3.1,Europe & Central Asia,High income: OECD
53,AT,AUT,Austria,1/1/93,21743.63618,76.06829268,7905633,12,4,Europe & Central Asia,High income: OECD
54,AT,AUT,Austria,1/1/06,37626.14418,79.8804878,8268641,9.4,2.8,Europe & Central Asia,High income: OECD
55,AT,AUT,Austria,1/1/00,29566.24767,78.12682927,8011566,9.8,3.1,Europe & Central Asia,High income: OECD
56,AT,AUT,Austria,1/1/99,27752.71775,77.87560976,7992324,9.8,3.1,Europe & Central Asia,High income: OECD
57,AT,AUT,Austria,1/1/13,47416.28467,81.13658537,8479375,9.4,2.3,Europe & Central Asia,High income: OECD
58,AT,AUT,Austria,1/1/14,47706.48825,81.33658537,8541575,9.6,2.2,Europe & Central Asia,High income: OECD
59,AT,AUT,Austria,1/1/05,34691.20896,79.33170732,8227829,9.5,2.8,Europe & Central Asia,High income: OECD
60,AT,AUT,Austria,1/1/10,41892.77585,80.5804878,8363404,9.4,2.5,Europe & Central Asia,High income: OECD
61,AT,AUT,Austria,1/1/07,39234.32288,80.1804878,8295487,9.2,2.7,Europe & Central Asia,High income: OECD
62,AT,AUT,Austria,1/1/92,21301.96297,75.81707317,7840709,12.2,4.2,Europe & Central Asia,High income: OECD
63,AT,AUT,Austria,1/1/96,24573.18183,76.87073171,7959017,11.2,3.4,Europe & Central Asia,High income: OECD
64,AT,AUT,Austria,1/1/91,20625.88133,75.61707317,7754891,12.2,4.4,Europe & Central Asia,High income: OECD
65,AT,AUT,Austria,1/1/11,44022.39527,80.98292683,8391643,9.3,2.4,Europe & Central Asia,High income: OECD
66,AT,AUT,Austria,1/1/95,23705.54204,76.66829268,7948278,11.2,3.5,Europe & Central Asia,High income: OECD
67,AT,AUT,Austria,1/1/12,45858.24684,80.93658537,8429991,9.4,2.4,Europe & Central Asia,High income: OECD
68,AT,AUT,Austria,1/1/03,32202.44556,78.63170732,8121423,9.5,3,Europe & Central Asia,High income: OECD
69,AT,AUT,Austria,1/1/02,31261.55163,78.67804878,8081957,9.7,3,Europe & Central Asia,High income: OECD
70,AT,AUT,Austria,1/1/98,26728.58592,77.67073171,7976789,10.2,3.2,Europe & Central Asia,High income: OECD
71,AT,AUT,Austria,1/1/90,19490.93724,75.56829268,7677850,11.8,4.6,Europe & Central Asia,High income: OECD
72,AT,AUT,Austria,1/1/09,40620.39216,80.33170732,8343323,9.2,2.6,Europe & Central Asia,High income: OECD
73,AT,AUT,Austria,1/1/97,25532.15175,77.3195122,7968041,10.5,3.2,Europe & Central Asia,High income: OECD
74,AT,AUT,Austria,1/1/08,41151.58504,80.43170732,8321496,9.3,2.6,Europe & Central Asia,High income: OECD
75,AT,AUT,Austria,1/1/04,33800.70211,79.1804878,8171966,9.7,2.9,Europe & Central Asia,High income: OECD
76,AZ,AZE,Azerbaijan,1/1/07,12477.38469,69.7565122,8581300,17.7,24.4,Europe & Central Asia,Upper middle income
77,AZ,AZE,Azerbaijan,1/1/91,5558.818413,64.42414634,7271000,26.6,36.2,Europe & Central Asia,Upper middle income
78,AZ,AZE,Azerbaijan,1/1/09,14900.50866,70.29368293,8947243,17,22.5,Europe & Central Asia,Upper middle income
79,AZ,AZE,Azerbaijan,1/1/93,3361.035497,64.15402439,7495000,23.7,37,Europe & Central Asia,Upper middle income
80,AZ,AZE,Azerbaijan,1/1/01,3942.084882,67.15029268,8111200,13.6,32.1,Europe & Central Asia,Upper middle income
81,AZ,AZE,Azerbaijan,1/1/02,4393.967199,67.56107317,8171950,13.5,30.6,Europe & Central Asia,Upper middle income
82,AZ,AZE,Azerbaijan,1/1/08,13799.78614,70.06395122,8763400,17.4,23.4,Europe & Central Asia,Upper middle income
83,AZ,AZE,Azerbaijan,1/1/92,4334.433664,64.2072439,7382000,25.2,36.6,Europe & Central Asia,Upper middle income
84,AZ,AZE,Azerbaijan,1/1/00,3534.329148,66.7582439,8048600,14.5,33.4,Europe & Central Asia,Upper middle income
85,AZ,AZE,Azerbaijan,1/1/99,3136.093893,66.3554878,7982750,14.7,34.7,Europe & Central Asia,Upper middle income
86,AZ,AZE,Azerbaijan,1/1/05,7169.150431,68.93726829,8391850,16.9,26.6,Europe & Central Asia,Upper middle income
87,AZ,AZE,Azerbaijan,1/1/97,2634.158631,65.46239024,7838250,16.8,36.6,Europe & Central Asia,Upper middle income
88,AZ,AZE,Azerbaijan,1/1/03,4945.907916,68.00368293,8234100,13.8,29.2,Europe & Central Asia,Upper middle income
89,AZ,AZE,Azerbaijan,1/1/04,5551.448842,68.47019512,8306500,15.8,27.8,Europe & Central Asia,Upper middle income
90,AZ,AZE,Azerbaijan,1/1/14,17584.68535,70.76321951,9535079,17.9,18.9,Europe & Central Asia,Upper middle income
91,AZ,AZE,Azerbaijan,1/1/10,15627.60562,70.45131707,9054332,18.3,21.7,Europe & Central Asia,Upper middle income
92,AZ,AZE,Azerbaijan,1/1/06,9830.162606,69.3752439,8484550,17.6,25.4,Europe & Central Asia,Upper middle income
93,AZ,AZE,Azerbaijan,1/1/96,2471.585879,64.994,7763000,16.6,37.1,Europe & Central Asia,Upper middle income
94,AZ,AZE,Azerbaijan,1/1/90,5502.433989,64.74636585,7159000,25.9,35.9,Europe & Central Asia,Upper middle income
95,AZ,AZE,Azerbaijan,1/1/13,17174.31088,70.69058537,9416801,18.3,19.7,Europe & Central Asia,Upper middle income
96,AZ,AZE,Azerbaijan,1/1/11,15754.15236,70.55180488,9173082,19.2,21,Europe & Central Asia,Upper middle income
97,AZ,AZE,Azerbaijan,1/1/95,2420.444864,64.57582927,7685000,18.9,37.4,Europe & Central Asia,Upper middle income
98,AZ,AZE,Azerbaijan,1/1/98,2901.351672,65.92336585,7913000,15.7,35.8,Europe & Central Asia,Upper middle income
99,AZ,AZE,Azerbaijan,1/1/12,16180.88715,70.62395122,9295784,18.8,20.4,Europe & Central Asia,Upper middle income
100,AZ,AZE,Azerbaijan,1/1/94,2719.340227,64.28158537,7597000,21.4,37.3,Europe & Central Asia,Upper middle income
101,BA,BIH,Bosnia and Herzegovina,1/1/99,4062.008663,73.90963415,3784389,10.748,7.2,Europe & Central Asia,Upper middle income
102,BA,BIH,Bosnia and Herzegovina,1/1/10,8941.522708,75.80768293,3835258,9.272,5.1,Europe & Central Asia,Upper middle income
103,BA,BIH,Bosnia and Herzegovina,1/1/98,3658.558859,73.43729268,3775898,11.297,7.8,Europe & Central Asia,Upper middle income
104,BA,BIH,Bosnia and Herzegovina,1/1/09,8686.598414,75.65736585,3837732,9.248,5.2,Europe & Central Asia,Upper middle income
105,BA,BIH,Bosnia and Herzegovina,1/1/04,5723.554247,74.9594878,3825872,8.772,5.2,Europe & Central Asia,Upper middle income
106,BA,BIH,Bosnia and Herzegovina,1/1/06,7330.409433,75.23143902,3838504,8.891,5.1,Europe & Central Asia,Upper middle income
107,BA,BIH,Bosnia and Herzegovina,1/1/02,4972.278989,74.67558537,3808347,9.191,5.7,Europe & Central Asia,Upper middle income
108,BA,BIH,Bosnia and Herzegovina,1/1/03,5261.898096,74.82436585,3817313,8.903,5.4,Europe & Central Asia,Upper middle income
109,BA,BIH,Bosnia and Herzegovina,1/1/97,3128.002497,72.85873171,3779354,11.769,8.4,Europe & Central Asia,Upper middle income
110,BA,BIH,Bosnia and Herzegovina,1/1/05,6412.549886,75.09353659,3833377,8.781,5.1,Europe & Central Asia,Upper middle income
111,BA,BIH,Bosnia and Herzegovina,1/1/94,913.0143161,71.0295122,3992256,12.776,10,Europe & Central Asia,Upper middle income
112,BA,BIH,Bosnia and Herzegovina,1/1/95,1158.715494,71.56609756,3879278,12.474,9.5,Europe & Central Asia,Upper middle income
113,BA,BIH,Bosnia and Herzegovina,1/1/11,9422.276108,75.96292683,3832310,9.235,5,Europe & Central Asia,Upper middle income
114,BA,BIH,Bosnia and Herzegovina,1/1/08,8796.280753,75.51197561,3839749,9.164,5.1,Europe & Central Asia,Upper middle income
115,BA,BIH,Bosnia and Herzegovina,1/1/01,4661.145307,74.50092683,3799747,9.627,6.1,Europe & Central Asia,Upper middle income
116,BA,BIH,Bosnia and Herzegovina,1/1/14,10426.91728,76.4332439,3817554,8.947,4.2,Europe & Central Asia,Upper middle income
117,BA,BIH,Bosnia and Herzegovina,1/1/07,8025.023207,75.3714878,3840418,9.036,5.1,Europe & Central Asia,Upper middle income
118,BA,BIH,Bosnia and Herzegovina,1/1/13,10115.5404,76.27692683,3823533,9.062,4.5,Europe & Central Asia,Upper middle income
119,BA,BIH,Bosnia and Herzegovina,1/1/00,4373.125089,74.26073171,3792878,10.168,6.6,Europe & Central Asia,Upper middle income
120,BA,BIH,Bosnia and Herzegovina,1/1/96,2269.603865,72.20880488,3810649,12.154,9,Europe & Central Asia,Upper middle income
121,BA,BIH,Bosnia and Herzegovina,1/1/12,9705.013979,76.12017073,3828419,9.159,4.7,Europe & Central Asia,Upper middle income
122,BE,BEL,Belgium,1/1/92,20657.57877,76.35121951,10045158,12.4,4.2,Europe & Central Asia,High income: OECD
123,BE,BEL,Belgium,1/1/98,24831.83899,77.47317073,10203008,11.2,3.3,Europe & Central Asia,High income: OECD
124,BE,BEL,Belgium,1/1/07,36579.6182,79.78292683,10625700,11.7,2.5,Europe & Central Asia,High income: OECD
125,BE,BEL,Belgium,1/1/99,25922.82496,77.6195122,10226419,11.2,3.1,Europe & Central Asia,High income: OECD
126,BE,BEL,Belgium,1/1/94,21927.93818,76.69170732,10115603,11.5,3.9,Europe & Central Asia,High income: OECD
127,BE,BEL,Belgium,1/1/09,37629.44284,79.98292683,10796493,11.8,2.4,Europe & Central Asia,High income: OECD
128,BE,BEL,Belgium,1/1/12,41930.66183,80.38536585,11128246,11.5,2.3,Europe & Central Asia,High income: OECD
129,BE,BEL,Belgium,1/1/90,19052.87519,76.05195122,9967379,12.4,4.6,Europe & Central Asia,High income: OECD
130,BE,BEL,Belgium,1/1/00,28278.29829,77.72195122,10251250,11.4,3,Europe & Central Asia,High income: OECD
131,BE,BEL,Belgium,1/1/97,24303.3899,77.37073171,10181245,11.4,3.5,Europe & Central Asia,High income: OECD
132,BE,BEL,Belgium,1/1/06,35071.37549,79.3804878,10547958,11.6,2.6,Europe & Central Asia,High income: OECD
133,BE,BEL,Belgium,1/1/95,22871.159,76.84073171,10136811,11.4,3.8,Europe & Central Asia,High income: OECD
134,BE,BEL,Belgium,1/1/10,39257.83447,80.18292683,10895586,11.9,2.3,Europe & Central Asia,High income: OECD
135,BE,BEL,Belgium,1/1/05,33042.89928,78.9804878,10478617,11.4,2.6,Europe & Central Asia,High income: OECD
136,BE,BEL,Belgium,1/1/01,29198.02064,77.97317073,10286570,11.2,2.9,Europe & Central Asia,High income: OECD
137,BE,BEL,Belgium,1/1/11,40858.72517,80.58536585,11047744,11.6,2.3,Europe & Central Asia,High income: OECD
138,BE,BEL,Belgium,1/1/13,43057.20359,80.58780488,11182817,11.2,2.2,Europe & Central Asia,High income: OECD
139,BE,BEL,Belgium,1/1/14,43409.24089,80.58780488,11231213,11.1,2.2,Europe & Central Asia,High income: OECD
140,BE,BEL,Belgium,1/1/03,31052.37783,78.12926829,10376133,11,2.8,Europe & Central Asia,High income: OECD
141,BE,BEL,Belgium,1/1/04,31975.60418,78.87804878,10421137,11.3,2.7,Europe & Central Asia,High income: OECD
142,BE,BEL,Belgium,1/1/02,30767.29975,78.07560976,10332785,10.9,2.8,Europe & Central Asia,High income: OECD
143,BE,BEL,Belgium,1/1/93,20864.00662,76.34536585,10084475,12,4.1,Europe & Central Asia,High income: OECD
144,BE,BEL,Belgium,1/1/08,37846.95559,79.6804878,10709973,11.9,2.4,Europe & Central Asia,High income: OECD
145,BE,BEL,Belgium,1/1/96,23272.62431,77.18731707,10156637,11.5,3.6,Europe & Central Asia,High income: OECD
146,BE,BEL,Belgium,1/1/91,19973.5706,76.19219512,10004486,12.6,4.4,Europe & Central Asia,High income: OECD
147,BG,BGR,Bulgaria,1/1/91,5161.908875,71.56097561,8632367,11.1,11.9,Europe & Central Asia,Upper middle income
148,BG,BGR,Bulgaria,1/1/90,5402.669571,71.64146341,8718289,12.1,11.6,Europe & Central Asia,Upper middle income
149,BG,BGR,Bulgaria,1/1/06,11440.90733,72.61219512,7699020,9.6,8.1,Europe & Central Asia,Upper middle income
150,BG,BGR,Bulgaria,1/1/92,4948.480991,71.49439024,8540164,10.4,12.1,Europe & Central Asia,Upper middle income
151,BG,BGR,Bulgaria,1/1/96,5275.570265,70.89731707,8362826,8.6,12.3,Europe & Central Asia,Upper middle income
152,BG,BGR,Bulgaria,1/1/04,9155.589458,72.56341463,7781161,9,9.2,Europe & Central Asia,Upper middle income
153,BG,BGR,Bulgaria,1/1/05,10123.97384,72.56097561,7739900,9.2,8.6,Europe & Central Asia,Upper middle income
154,BG,BGR,Bulgaria,1/1/99,5778.966624,71.41219512,8210624,8.8,11.8,Europe & Central Asia,Upper middle income
155,BG,BGR,Bulgaria,1/1/12,16097.83431,74.31463415,7305888,9.5,6.5,Europe & Central Asia,Upper middle income
156,BG,BGR,Bulgaria,1/1/07,13319.24372,72.66341463,7545338,10,7.7,Europe & Central Asia,Upper middle income
157,BG,BGR,Bulgaria,1/1/08,14934.77446,72.96341463,7492561,10.4,7.4,Europe & Central Asia,Upper middle income
158,BG,BGR,Bulgaria,1/1/02,7760.335491,71.86585366,7868468,8.5,10.3,Europe & Central Asia,Upper middle income
159,BG,BGR,Bulgaria,1/1/03,8386.675063,72.06585366,7823557,8.6,9.8,Europe & Central Asia,Upper middle income
160,BG,BGR,Bulgaria,1/1/10,15084.32216,73.51219512,7395599,10.2,7.1,Europe & Central Asia,Upper middle income
161,BG,BGR,Bulgaria,1/1/97,5404.800136,70.35121951,8312068,7.7,12.3,Europe & Central Asia,Upper middle income
162,BG,BGR,Bulgaria,1/1/14,17207.59533,75.40731707,7223938,9.4,5.9,Europe & Central Asia,Upper middle income
163,BG,BGR,Bulgaria,1/1/95,5536.851189,71.05341463,8406067,8.6,12.2,Europe & Central Asia,Upper middle income
164,BG,BGR,Bulgaria,1/1/09,14870.80541,73.41219512,7444443,10.9,7.2,Europe & Central Asia,Upper middle income
165,BG,BGR,Bulgaria,1/1/13,16573.47034,74.86097561,7265115,9.2,6.2,Europe & Central Asia,Upper middle income
166,BG,BGR,Bulgaria,1/1/00,6344.336359,71.66341463,8170172,9,11.3,Europe & Central Asia,Upper middle income
167,BG,BGR,Bulgaria,1/1/11,15603.05166,74.16341463,7348328,9.6,6.8,Europe & Central Asia,Upper middle income
168,BG,BGR,Bulgaria,1/1/98,6120.069653,71.06097561,8256786,7.9,12.2,Europe & Central Asia,Upper middle income
169,BG,BGR,Bulgaria,1/1/94,5249.481131,71.20878049,8443591,9.4,12.2,Europe & Central Asia,Upper middle income
170,BG,BGR,Bulgaria,1/1/01,6895.369912,71.76829268,8020282,8.5,10.8,Europe & Central Asia,Upper middle income
171,BG,BGR,Bulgaria,1/1/93,5031.199903,71.34682927,8472313,10,12.2,Europe & Central Asia,Upper middle income
172,BY,BLR,Belarus,1/1/98,5060.880441,68.40731707,10069000,9.1,9,Europe & Central Asia,Upper middle income
173,BY,BLR,Belarus,1/1/91,5331.205325,70.37804878,10194000,12.9,9.2,Europe & Central Asia,Upper middle income
174,BY,BLR,Belarus,1/1/92,4918.655385,70.02195122,10216000,12.4,9.3,Europe & Central Asia,Upper middle income
175,BY,BLR,Belarus,1/1/99,5331.032663,67.90731707,10035000,9.1,8.3,Europe & Central Asia,Upper middle income
176,BY,BLR,Belarus,1/1/05,9662.054244,68.85121951,9663000,9.4,4.2,Europe & Central Asia,Upper middle income
177,BY,BLR,Belarus,1/1/97,4596.67258,68.46097561,10117000,8.8,9.5,Europe & Central Asia,Upper middle income
178,BY,BLR,Belarus,1/1/10,15385.45927,70.40487805,9490000,11.4,2.3,Europe & Central Asia,Upper middle income
179,BY,BLR,Belarus,1/1/90,5224.699919,70.83658537,10189000,13.9,9.3,Europe & Central Asia,Upper middle income
180,BY,BLR,Belarus,1/1/04,8497.621267,68.95609756,9730000,9.1,4.7,Europe & Central Asia,Upper middle income
181,BY,BLR,Belarus,1/1/14,18250.56322,72.97560976,9483000,12.5,1.9,Europe & Central Asia,Upper middle income
182,BY,BLR,Belarus,1/1/08,13917.75675,70.45609756,9528000,11.3,2.8,Europe & Central Asia,Upper middle income
183,BY,BLR,Belarus,1/1/06,11022.0864,69.40487805,9604000,10.1,3.7,Europe & Central Asia,Upper middle income
184,BY,BLR,Belarus,1/1/94,4191.496264,68.76829268,10227000,10.7,9.6,Europe & Central Asia,Upper middle income
185,BY,BLR,Belarus,1/1/03,7369.828474,68.55365854,9797000,9,5.3,Europe & Central Asia,Upper middle income
186,BY,BLR,Belarus,1/1/12,17218.3561,71.96585366,9464000,12.2,2.1,Europe & Central Asia,Upper middle income
187,BY,BLR,Belarus,1/1/09,14082.53828,70.40731707,9507000,11.5,2.5,Europe & Central Asia,Upper middle income
188,BY,BLR,Belarus,1/1/11,16603.38953,70.55365854,9473000,11.5,2.2,Europe & Central Asia,Upper middle income
189,BY,BLR,Belarus,1/1/96,4039.674256,68.61219512,10160000,9.3,9.8,Europe & Central Asia,Upper middle income
190,BY,BLR,Belarus,1/1/00,5785.87425,68.91219512,10005000,9.4,7.4,Europe & Central Asia,Upper middle income
191,BY,BLR,Belarus,1/1/13,17683.1643,72.47073171,9466000,12.5,2,Europe & Central Asia,Upper middle income
192,BY,BLR,Belarus,1/1/01,6245.425114,68.50731707,9928000,9.2,6.6,Europe & Central Asia,Upper middle income
193,BY,BLR,Belarus,1/1/02,6703.775792,68.05609756,9865000,9,5.9,Europe & Central Asia,Upper middle income
194,BY,BLR,Belarus,1/1/07,12345.10559,70.20341463,9560000,10.8,3.2,Europe & Central Asia,Upper middle income
195,BY,BLR,Belarus,1/1/95,3846.321048,68.46097561,10194000,9.9,9.7,Europe & Central Asia,Upper middle income
196,BY,BLR,Belarus,1/1/93,4642.519116,68.97073171,10239000,11.3,9.5,Europe & Central Asia,Upper middle income
197,CH,CHE,Switzerland,1/1/91,27030.92709,77.51463415,6799978,12.7,3.8,Europe & Central Asia,High income: OECD
198,CH,CHE,Switzerland,1/1/95,28952.76494,78.41707317,7040687,11.7,3.4,Europe & Central Asia,High income: OECD
199,CH,CHE,Switzerland,1/1/12,57205.37219,82.69756098,7996861,10.3,3,Europe & Central Asia,High income: OECD
200,CH,CHE,Switzerland,1/1/90,26734.01258,77.24243902,6715519,12.5,3.9,Europe & Central Asia,High income: OECD
201,CH,CHE,Switzerland,1/1/02,36376.69245,80.38536585,7284753,9.9,3.4,Europe & Central Asia,High income: OECD
202,CH,CHE,Switzerland,1/1/05,39152.87342,81.23658537,7437115,9.8,3.3,Europe & Central Asia,High income: OECD
203,CH,CHE,Switzerland,1/1/00,34500.07861,79.6804878,7184250,10.9,3.5,Europe & Central Asia,High income: OECD
204,CH,CHE,Switzerland,1/1/04,37760.89215,81.08780488,7389625,9.9,3.3,Europe & Central Asia,High income: OECD
205,CH,CHE,Switzerland,1/1/08,50438.76295,81.99268293,7647675,10,3.2,Europe & Central Asia,High income: OECD
206,CH,CHE,Switzerland,1/1/14,59535.79974,82.84878049,8188649,10.2,2.8,Europe & Central Asia,High income: OECD
207,CH,CHE,Switzerland,1/1/92,27332.00178,77.80609756,6875364,12.6,3.6,Europe & Central Asia,High income: OECD
208,CH,CHE,Switzerland,1/1/93,27693.69523,78.08536585,6938265,12.1,3.5,Europe & Central Asia,High income: OECD
209,CH,CHE,Switzerland,1/1/94,28414.76005,78.35,6993795,11.9,3.5,Europe & Central Asia,High income: OECD
210,CH,CHE,Switzerland,1/1/98,31984.6286,79.32439024,7110001,11.1,3.4,Europe & Central Asia,High income: OECD
211,CH,CHE,Switzerland,1/1/99,32558.01319,79.5804878,7143991,11,3.5,Europe & Central Asia,High income: OECD
212,CH,CHE,Switzerland,1/1/96,29674.73901,78.89609756,7071850,11.7,3.4,Europe & Central Asia,High income: OECD
213,CH,CHE,Switzerland,1/1/01,35381.1937,80.1804878,7229854,10,3.5,Europe & Central Asia,High income: OECD
214,CH,CHE,Switzerland,1/1/13,59351.42306,82.79756098,8089346,10.2,2.9,Europe & Central Asia,High income: OECD
215,CH,CHE,Switzerland,1/1/11,54550.68937,82.69512195,7912398,10.2,3,Europe & Central Asia,High income: OECD
216,CH,CHE,Switzerland,1/1/06,43350.83895,81.4902439,7483934,9.8,3.3,Europe & Central Asia,High income: OECD
217,CH,CHE,Switzerland,1/1/07,47404.66762,81.74146341,7551117,9.9,3.3,Europe & Central Asia,High income: OECD
218,CH,CHE,Switzerland,1/1/97,30919.81056,79.0795122,7088906,11.4,3.4,Europe & Central Asia,High income: OECD
219,CH,CHE,Switzerland,1/1/09,49903.27319,82.04390244,7743831,10.1,3.2,Europe & Central Asia,High income: OECD
220,CH,CHE,Switzerland,1/1/10,51356.96398,82.24634146,7824909,10.3,3.1,Europe & Central Asia,High income: OECD
221,CH,CHE,Switzerland,1/1/03,36419.37836,80.53658537,7339001,9.8,3.4,Europe & Central Asia,High income: OECD
222,CY,CYP,Cyprus,1/1/96,16877.30315,77.41909756,873246,15.73,4.2,Europe & Central Asia,High income
223,CY,CYP,Cyprus,1/1/05,27330.88191,78.58960976,1032586,11.945,2.4,Europe & Central Asia,High income
224,CY,CYP,Cyprus,1/1/13,30587.42435,79.94978049,1141652,11.436,1.6,Europe & Central Asia,High income
